pbs	frecLEXIN
arreglaban	1
arreglada	1
arreglado	2
arreglan	2
arreglándose	2
arreglar	6
arreglarlo	5
arregle	1
arregló	1
arreo	1
arreó	1
arrepentido	3
arrepentidos	1
arrepiente	1
arrepintió	4
arriate	1
arriba	48
arrima	4
arrodillan	4
arrodillo	1
arrodilló	3
arrojó	1
arropa	1
arropaba	2
arropada	1
arropó	2
arroyo	22
arroz	15
arruga	1
arrulla	2
arte	4
arterias	1
artesana	2
artificiales	3
artista	7
artistas	3
arturito	17
arturo	4
arzobispo	1
asa	35
asá	1
asadas	3
asado	4
asados	2
asan	1
asando	3
asaron	1
ascendente	1
ascensor	3
asco	8
ase	1
asea	5
aseado	1
asean	1
asearon	3
asegura	3
aseguraba	2
asegurar	2
aseguró	4
aseñorada	2
aseo	2
aserran	3
aserrín	1
así	161
asia	2
asiático	1
asienten	2
asiento	6
asientos	4
asignaturas	1
asistir	3
asma	1
asnal	1
asno	10
asó	5
asocia	1
asociación	8
asoma	20
asomaba	2
asomado	3
asomamos	1
asoman	3
asomando	1
asomándose	3
asomar	4
asomas	2
asombrada	5
asombrado	1
asombrados	3
asombro	5
asombroso	2
asomo	1
asomó	8
aspa	8
aspas	4
aspecto	6
áspero	1
aspirador	3
aspiradoras	1
astronauta	15
astros	3
astuto	1
asunción	1
asuntos	2
asusta	13
asustaba	2
asustada	5
asustado	24
asustados	5
asustan	6
asustando	1
asustar	7
asustará	2
asustarla	2
asustaron	1
asustas	2
asusté	3
asusto	1
asustó	9
ata	12
ataba	2
atacaba	2
atacan	5
atacaran	2
atada	1
atado	3
ataque	1
atar	2
atardecer	7
atareada	3
atareado	1
atascó	1
atascos	1
átatelos	2
atemorizados	5
atención	17
atenderlos	3
atenta	2
atentamente	5
atentos	1
aterriza	1
aterrizado	1
aterrizaje	1
aterrizan	1
aterrizar	5
aterrizo	1
aterrizó	4
atiende	1
atiza	1
atizador	2
atizan	1
atlántico	1
atlas	1
atleta	5
atletas	2
atletismo	2
atmósfera	2
ato	4
átomo	1
atos	2
atracción	2
atracciones	3
atraen	1
atraídas	3
atraídos	1
atrapa	1
atrapada	1
atrapado	2
atrapamoscas	1
atrapar	2
atrás	11
atravesar	7
atraviesan	1
atrayente	2
atrevida	2
atrevido	1
atrevidos	2
atrevió	5
atrevo	2
atuendo	1
atún	10
aturde	1
au	7
aula	4
aúlla	1
aúllan	2
aullido	5
aullidos	5
aumenta	2
aumento	2
aun	2
aún	20
aunque	45
aúpa	14
aúpo	1
aurelio	3
aureola	1
auriculares	3
aurora	2
ausencia	1
auténtico	5
auténticos	1
auto	15
autobús	43
autocar	3
automóvil	5
autos	1
auxilian	1
auxilio	7
avance	5
avancé	1
avanza	4
avanzan	2
ave	13
avecillas	1
avellana	4
avellanas	12
avellano	10
avena	1
avenir	1
aventura	4
aventuras	14
aventurera	2
aventurero	1
aventureros	1
avergonzados	1
avería	1
averiguar	2
averigüen	1
aves	9
avestruz	7
aviación	5
aviador	6
ávidos	1
avión	63
aviones	13
avioneta	3
avisa	5
avisad	1
avisar	4
avisaré	3
avisen	5
aviso	2
avisó	2
avispa	2
avispas	1
aviva	1
axila	3
ay	77
ayer	48
ayes	16
ayuda	45
ayudaba	2
ayudaban	3
ayudado	3
ayúdame	4
ayudamos	7
ayudan	14
ayudando	7
ayudante	1
ayudar	14
ayudará	1
ayudarán	2
ayudaré	2
ayudarías	2
ayudarles	1
ayudarlo	2
ayudarlos	2
ayudarme	2
ayudaron	2
ayudarse	1
ayudarte	2
ayude	2
ayudé	1
ayúdeme	2
ayudemos	1
ayuden	2
ayudo	10
ayudó	11
ayuntamiento	1
ayuso	2
azada	4
azafata	1
azafato	1
azafrán	3
azalea	1
azaleas	2
azotea	1
azúcar	39
azucarado	3
azucarados	2
azucarero	1
azucena	9
azucenas	4
azul	101
azuladas	4
azulado	3
azules	33
azulitos	1
ba	2
baba	7
babas	2
babero	4
baberos	4
babi	16
babuchas	1
bacalao	2
badajoz	1
baila	25
bailaba	3
bailaban	1
bailamos	4
bailan	9
bailando	3
bailaora	3
bailar	8
bailara	2
bailará	2
bailarín	3
bailarina	18
bailarinas	3
bailarines	1
bailaron	3
baile	14
bailo	6
baja	36
bajaba	6
bajada	1
bajamos	1
bajan	4
bajando	5
bajar	9
bajaré	2
bajarla	1
bajaron	2
bajarse	1
bajas	2
bajase	1
bajel	1
bajen	2
bajito	9
bajitos	2
bajo	55
bajó	12
bajos	2
bala	6
baladas	2
balan	1
balancea	2
balanceaba	2
balanceándose	2
balancín	1
balanza	2
balbino	2
balcón	31
balcones	4
balda	3
balde	1
baldomero	3
baldosa	2
baldosas	3
bale	1
balido	1
balón	36
baloncesto	4
balonmano	1
balsa	8
baltasar	4
ballena	33
ballenas	3
bambú	3
banco	13
bancos	1
banda	4
bandada	6
bandadas	2
bandeja	12
bandera	18
banderas	10
banderillas	1
banderín	1
banderines	1
banderita	1
banqueta	8
banquetas	1
banquete	4
banquetes	1
baña	14
bañaba	3
bañador	11
bañadores	3
bañan	3
bañando	1
bañar	3
bañará	1
bañaremos	11
bañarme	7
bañarse	3
bañarte	1
bañéis	1
bañera	25
bañista	1
baño	33
bar	7
barandilla	1
baratas	1
barato	2
barba	21
bárbara	4
barbaridad	1
barbas	6
barbería	1
barbero	2
barbilla	5
barbudo	1
barca	30
barcas	14
barco	97
barcos	10
bares	1
bario	1
barítono	2
barquero	2
barquichuelo	4
barquillos	1
barquita	1
barquito	9
barquitos	1
barra	8
barraca	4
barranco	1
barre	9
barren	2
barrendera	1
